王者荣耀	腾讯	5866515人安装	5.4	768.56MB	2018年2月8日	58936	多人对战,MOBA,联机,5v5,中文,开黑,多人,推塔,剧毒,PVP,英雄,团队协作,横版
							
决战！平安京	网易游戏	1183202人安装	7.3	666.29MB	2018年2月8日	21095	MOBA,联机,和风,角色扮演,多人,3D,日系,多人联机,中文,UP主推荐,第三人称,CV控
							
300大作战（测试服）	跳跃网络	1650735人安装 | 660319人关注	6.3	242.40MB	2018年2月9日	17570	二次元,MOBA,美少女,不删档测试,多人对战,联机,日系,动漫,推塔,联网,3D,中文,战斗,组队,5v5,多人,网络工具,团战
							
枪火战神	深圳市大梦龙途文化传播有限公司	369973人安装	7	406.82MB	2018年2月1日	13159	MOBA+FPS,射击,MOBA,联机,FPS,3D,多人,动作,第一人称射击,高画质,吃鸡,枪战,中文,角色扮演,联网,多人联机
							
王者荣耀（体验服预下载）	腾讯	113048人关注	7.3	125.61MB	2018年2月1日	750	动作,MOBA,多人对战,多人,竞技
							
光影对决	杭州电魂网络科技股份有限公司	288845人安装	8.1	377.67MB	2018年2月8日	6127	MOBA,二次元,动作,联机,UP主推荐,动漫,5v5,策略,日系,ACG,漫改,日文,多人
							
虚荣 (Vainglory)	巨人网络	3545022人安装	9.4	1000.85MB	2018年2月17日	25614	高画质,点触MOBA,MOBA,联机,3v3,多人,竞技,策略,多人联机,联网,3D,谷歌,UP主推荐,英文
							
王者军团	天之游	2252898人安装	6.3	473.45MB	2017年11月21日	10275	射击,MOBA,fps+moba,FPS,联机,多人,高画质,中文,MOBA+FPS,联网,角色扮演,枪战,3D,动作,竞技,5v5,免费,团队
							
自由之战2	盖娅互娱	338965人安装	7.7	614.15MB	2018年2月1日	9105	MOBA,团队配合,多人,3D,联机,5v5,开黑,创新,联网,竞技,多人联机
							
英魂之刃	福建网龙计算机网络信息技术有限公司	728677人安装	7.4	495.33MB	2018年2月9日	4124	MOBA,多人,5v5,竞技,开黑,联机,推塔,联网,中文,动作,策略,格斗,炫酷
							
崩坏3	miHoYo	5848436人安装	8.7	1.06GB	2018年2月7日	47648	二次元,高画质,美少女,打击感,3D,动作,肝,ACG,养成,战斗,百合,日系,SSR,网游,中文,玄学,多人,优美,联网,国产
							
IRIS	萌游姬箱社	105610人关注	9.7	604.77MB	2018年2月12日	2648	galgame,恋爱,文字,二次元,ACG,萝莉,同人,剧情,萌系,单机,游戏性测试,美少女
							
魔女兵器	北京水琴铃信息技术有限公司	134529人安装 | 98920人预约	7	1.08GB	2018年2月14日	4209	二次元,ACG,美少女,角色扮演,策略,联网
							
300大作战（测试服）	跳跃网络	1650735人安装 | 660319人关注	6.3	242.40MB	2018年2月9日	17570	二次元,MOBA,美少女,不删档测试,多人对战,联机,日系,动漫,推塔,联网,3D,中文,战斗,组队,5v5,多人,网络工具,团战
							
姬魔恋战纪	上海义乐信息科技有限公司	246073人安装	9.7	490.31MB	2018年1月25日	5807	二次元,galgame,文字,角色扮演,休闲,后宫,美少女,剧情,恋爱,ACG,美女,养成,日系,画面精美,CV控,gal,经营,策略,唯美,冒险
							
阴阳师	网易游戏	2211048人安装	6.8	873.93MB	2018年2月12日	20472	卡牌,养成,回合制,二次元,和风,角色扮演,玄学,非酋,收集,CV控,策略,联机,3D,中文,ACG,血统,日文,UP主推荐,阴阳师,剧情
							
